Reklam Adı,Reklam Statüsü,Başlangıç Tarihi,Bitiş Tarihi,Ürün Adedi,Ürün ContentId Listesi,Toplam Bütçe,Günlük Bütçe,Kalan Bütçe,Harcanan Bütçe,TBM Teklifi,Gerçekleşen TBM,Tıklanma,Görüntülenme,Doğrudan Satış Adedi,Dolaylı Satış Adedi,Toplam Satış Adedi,Doğrudan Reklam Cirosu,Dolaylı Reklam Cirosu,Toplam Reklam Cirosu,Harcama Getirisi
Ürün-06.03.2026 09:58,Yayında,2026-03-06 16:11,-,8,"900521535,1107345706,1085806097,1085803774,1117394573,1117394569,1118078145,1118078177",-,2.000,"1.188,84","111.607,98","3 - 3,29 - 3,20 - 3 - 3,34 - 3 - 2,21 - 1,90 - -1","2,27",49150,1759923,70,79,149,"226.322,40","271.740,80","498.063,20","4,46"
HAFTALIK REKLAM GİRİŞİ 500 DENEME,Sonlandırıldı,2026-01-20 12:52,-,3,"1085803768,1085806097,1085803775",-,800,0,"25.438,48",-1,"2,42",10513,278430,26,57,83,46.040,116.930,162.970,"6,41"
Ürün-19.01.2026 13:39,Sonlandırıldı,2026-01-19 13:40,-,2,"1085803768,1085806097",466,-,"99,59","366,41",-1,"2,67",137,5016,0,0,0,0,0,0,0
Ürün-ilk hafta sonu,Sonlandırıldı,2026-01-17 18:44,2026-01-19 23:59,4,"1085803768,1085803775,1085803774,1085806097",2.000,-,0,2.000,-1,"7,41",270,17061,0,2,2,0,2.980,2.980,"1,49"
Ürün-15.01.2026 21:18,Sonlandırıldı,2026-01-16 00:00,2026-01-19 23:59,4,"1085803775,1085803774,1085803768,1085806097",-,150,"63,42","183,44",-1,"2,66",69,5818,0,0,0,0,0,0,0
