"Kampanya Adı","Reklam Adı",Reklamlar,"Yayın Durumu","Yayın Düzeyi",Erişim,Gösterim,Sıklık,"İlişkilendirme Ayarı","Sonuç Türü",Sonuçlar,"Harcanan Tutar (TRY)","Sonuç başına ücret",Başlangıç,Bitiş,"CTR (Tümü)","CPM (1000 Gösterim Başına Ücret)","CPC (Bağlantı Tıklaması Başına Ücret)","Dönüşüm Oranı","Ortalama Sepet",Görüntülemeler,Alışverişler,"Ortalama alışveriş dönüşüm değeri","Alışveriş Reklam Harcamasının Getirisi","Rapor Başlangıcı","Rapor Sonu"
"Messages | Instagram","Ad#7- k2 aman ön sipariş","Ad#7- k2 aman ön sipariş",active,ad,6468,7960,1.23067409,"7 günlük tıklama veya 1 günlük görüntüleme","Başlatılan mesajlaşma konuşmaları",56,774.68,13.83357143,2026-01-23,Sürekli,1.92211055,97.32160804,7.90489796,0,,7990,,,,2026-01-21,2026-05-12
"Messages | Instagram","Ad#8 travelset - Kopya","Ad#8 travelset - Kopya",active,ad,5680,7706,1.35669014,"7 günlük tıklama veya 1 günlük görüntüleme","Başlatılan mesajlaşma konuşmaları",38,773.48,20.35473684,2026-01-23,Sürekli,1.66104334,100.37373475,11.54447761,0,,8175,,,,2026-01-21,2026-05-12
"Sales | Website | 08.03","#Post2 10.02.2026","#Post2 10.02.2026",inactive,ad,3509,4387,1.25021374,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",1,702.13,702.13,2026-03-08,Sürekli,2.21107819,160.0478687,9.36173333,1.49253731,1490,4398,1,1490,2.12211414,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Anneler Günü Reels","Anneler Günü Reels",not_delivering,ad,5228,6610,1.26434583,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,623.98,,2026-05-01,Sürekli,1.10438729,94.39939486,12.73428571,0,,6655,,,,2026-01-21,2026-05-12
"Sales | Website | 10.02.26",0404Post,0404Post,not_delivering,ad,1416,3031,2.14053672,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,565.53,,2026-02-10,Sürekli,1.41867371,186.58198614,15.70916667,0,,3042,,,,2026-01-21,2026-05-12
"Messages | Instagram","Ad#4 | 10.02.2026","Ad#4 | 10.02.2026",inactive,ad,674,1606,2.38278932,"7 günlük tıklama veya 1 günlük görüntüleme","Başlatılan mesajlaşma konuşmaları",6,522.08,87.01333333,2026-01-23,Sürekli,3.67372354,325.08094645,14.91657143,,,1607,,,,2026-01-21,2026-05-12
"Messages | Instagram","Ad#8 travelset","Ad#8 travelset",inactive,ad,1194,2224,1.86264657,"7 günlük tıklama veya 1 günlük görüntüleme","Başlatılan mesajlaşma konuşmaları",3,375.94,125.31333333,2026-01-23,Sürekli,1.16906475,169.03776978,26.85285714,0,,2339,,,,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","10.04 #5","10.04 #5",inactive,ad,1234,1929,1.56320908,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,332.75,,2026-04-10,Sürekli,1.96993261,172.49870399,10.3984375,0,,1933,,,,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Reels 10.04 #4","Reels 10.04 #4",inactive,ad,1054,1637,1.55313093,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,282.06,,2026-04-10,Sürekli,2.74893097,172.30299328,7.23230769,0,,1663,,,,2026-01-21,2026-05-12
"Sales | Website | 08.03","Jood 3 Metal","Jood 3 Metal",not_delivering,ad,534,817,1.52996255,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,190.9,,2026-03-08,Sürekli,2.44798042,233.65973072,19.09,0,,766,,,,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","18.03 Reels2","18.03 Reels2",inactive,ad,738,798,1.08130081,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,169.85,,2026-02-10,Sürekli,1.5037594,212.84461153,15.44090909,0,,796,,,,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Reels 10.04 #1","Reels 10.04 #1",inactive,ad,619,794,1.28271405,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,134.37,,2026-04-10,Sürekli,1.6372796,169.23173804,11.1975,0,,780,,,,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Reels 10.04 #3","Reels 10.04 #3",inactive,ad,675,921,1.36444444,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",1,128.31,128.31,2026-04-10,Sürekli,2.49728556,139.31596091,5.83227273,4.76190476,3990,936,1,3990,31.09656301,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","Post Alternative 11.03.2026","Post Alternative 11.03.2026",inactive,ad,424,650,1.53301887,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",1,123.12,123.12,2026-02-10,Sürekli,1.38461538,189.41538462,15.39,,3990,652,1,3990,32.40740741,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","Jood 3 Metal | 07.03","Jood 3 Metal | 07.03",inactive,ad,185,214,1.15675676,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,52.85,,2026-02-10,Sürekli,4.20560748,246.96261682,10.57,,,211,,,,2026-01-21,2026-05-12
"Sales | Website | 08.03","Jood 3 Metal | 07.03","Jood 3 Metal | 07.03",not_delivering,ad,197,250,1.26903553,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,45.91,,2026-03-08,Sürekli,3.6,183.64,11.4775,,,260,,,,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","#Post1 10.02.2026","#Post1 10.02.2026",inactive,ad,195,239,1.22564103,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,28.93,,2026-02-10,Sürekli,3.76569038,121.0460251,4.13285714,0,,272,,,,2026-01-21,2026-05-12
"Sales | Website | 08.03","Zirkon 28.02","Zirkon 28.02",not_delivering,ad,52,73,1.40384615,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme",,,28.39,,2026-03-08,Sürekli,2.73972603,388.90410959,28.39,,,72,,,,2026-01-21,2026-05-12
