Tarih;Ma?aza Görüntülenme Say?s?;Toplam Takipçi Say?s?;Toplam Takipçi Say?s? - Günlük De?i?im;Toplam Takipçi Say?s? - Kazan?lan;Toplam Takipçi Say?s? - Kaybedilen;Tekil Ziyaretçi Say?s?;Yeni Gelen Tekil Ziyaretçi Say?s?;Yeni Gelen Tekil Ziyaretçi Oran?;Ziyaretçinin Takipçiye Dönü? Oran?;Ziyaretçinin Mü?teriye Dönü? Oran?;Ziyaretçi Ba??na Ma?aza Görüntülenme Say?s?;Ma?azan?n Brüt Sipari? Adedi;Toplam Brüt Sipari? Adedi;Ma?aza Sipari? Oran?;Ma?azan?n Brüt Sat?? Adedi;Toplam Brüt Sat?? Adedi;Ma?aza Sat?? Adedi Oran?;Ma?azan?n Sat??a Dönü? Oran?;Ma?azan?n Brüt Cirosu;Toplam Brüt Ciro;Ma?aza Ciro Oran?;Ma?aza Mü?teri Say?s?;Toplam Mü?teri Say?s?;Ma?aza Mü?teri Oran?
14-04-2026 00:00;132;1865;+ 5;+ 6;+ 1;45;45;100;13,89;6,67;2.93;3;4;75;3;4;75;2,27;10470;14860;70,46;3;4;75
13-04-2026 00:00;94;1860;+ 13;+ 13;0;46;46;100;18,18;2,17;2.04;1;1;100;1;1;100;1,06;4390;4390;100;1;1;100
12-04-2026 00:00;178;1847;+ 23;+ 23;0;72;72;100;19,44;1,39;2.47;1;5;20;1;5;20;0,56;4390;15150;28,98;1;4;25
11-04-2026 00:00;135;1824;+ 15;+ 15;0;75;75;100;10;0;1.80;0;1;0;0;1;0;0;0;1690;0;0;1;0
10-04-2026 00:00;215;1809;+ 24;+ 24;0;119;119;100;17,43;1,68;1.81;2;4;50;2;4;50;0,93;3380;9460;35,73;2;4;50
09-04-2026 00:00;285;1785;+ 35;+ 35;0;177;177;100;18,6;0,56;1.61;1;2;50;1;2;50;0,35;1690;6080;27,8;1;2;50
08-04-2026 00:00;246;1750;+ 19;+ 19;0;91;91;100;14,77;3,3;2.70;3;7;42,86;3;8;37,5;1,22;11770;44220;26,62;3;7;42,86
