Reklam Ad?;Reklam Statüsü;Ba?lang?ç Tarihi;Biti? Tarihi;Ürün Adedi;Ürün ContentId Listesi;Toplam Bütçe;Günlük Bütçe;Kalan Bütçe;Harcanan Bütçe;TBM Teklifi;Gerçekle?en TBM;T?klanma;Görüntülenme;Do?rudan Sat?? Adedi;Dolayl? Sat?? Adedi;Toplam Sat?? Adedi;Do?rudan Reklam Cirosu;Dolayl? Reklam Cirosu;Toplam Reklam Cirosu;Harcama Getirisi
Ürün-06.03.2026 09:58;Yay?nda;2026-03-06 16:11;-;6;900521535,1107345706,1085806097,1085803774,1117394573,1117394569;-;2.000;1.112,09;46.870,84;-1;1,90;24701;799465;46;44;90;145.140;136.560;281.700;6,01
HAFTALIK REKLAM G?R??? 500 DENEME;Sonland?r?ld?;2026-01-20 12:52;-;3;1085803768,1085806097,1085803775;-;800;0;25.438,48;-1;2,42;10513;278430;26;57;83;46.040;116.930;162.970;6,41
Ürün-19.01.2026 13:39;Sonland?r?ld?;2026-01-19 13:40;-;2;1085803768,1085806097;466;-;99,59;366,41;-1;2,67;137;5016;0;0;0;0;0;0;0
Ürün-ilk hafta sonu;Sonland?r?ld?;2026-01-17 18:44;2026-01-19 23:59;4;1085803768,1085803775,1085803774,1085806097;2.000;-;0;2.000;-1;7,41;270;17061;0;2;2;0;2.980;2.980;1,49
Ürün-15.01.2026 21:18;Sonland?r?ld?;2026-01-16 00:00;2026-01-19 23:59;4;1085803775,1085803774,1085803768,1085806097;-;150;63,42;183,44;-1;2,66;69;5818;0;0;0;0;0;0;0
