"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Manisa","Turgutlu",17,18,0,0,,
"Türkiye","Hatay","Samandağ",17,18,0,0,,
"Türkiye","Istanbul","Çekmeköy",18,18,0,0,,
"Türkiye","Kocaeli","Darıca",17,18,0,0,,
"Belgium","Brussels Capital","Brussels",17,17,0,0,,
"Türkiye","Kocaeli","Derince",14,17,0,0,,
"Germany","North Rhine-Westphalia","Cologne",17,17,0,0,,
"Türkiye","İzmir Province","Buca",15,17,0,0,,
"Uzbekistan","Tashkent","Tashkent",16,16,0,0,,
"Türkiye","Ankara","Etimesgut",16,16,0,0,,
"Türkiye","Ankara","Yenimahalle",16,16,0,0,,
"France","Provence-Alpes-Côte d'Azur","Istres",14,16,0,0,,
"Netherlands",,,15,16,0,0,,
"Cyprus","Nicosia","Nicosia",15,16,0,0,,
"Türkiye","Bursa Province","Mustafakemalpaşa",14,16,0,0,,
"Ireland","Leinster","Clonee",15,15,0,0,,
"Qatar","Baladīyat ad Dawḩah","Doha",10,15,0,0,,
"Türkiye","Ordu",,11,15,0,0,,
"Türkiye","Kütahya","Tavşanlı",10,14,0,0,,
"Saudi Arabia",,,14,14,0,0,,
"Türkiye","Karabük Province","Safranbolu",12,14,0,0,,
"Türkiye","Istanbul","Beşiktaş",12,13,0,0,,
"Türkiye","Denizli","Pamukkale",11,13,0,0,,
"Germany","State of Berlin","Berlin",13,13,0,0,,
"United States","Virginia","Ashburn",13,13,0,0,,
"Türkiye","İzmir Province","Gaziemir",13,13,0,0,,
"Türkiye","Samsun","Ondokuzmayıs",12,13,0,0,,
"Türkiye","Istanbul","Beykoz",9,12,0,0,,
"Türkiye","İzmir Province","Bayındır",9,12,0,0,,
"United Kingdom",,,9,12,0,0,,
"Germany","Bavaria","Munich",12,12,0,0,,
"Türkiye","Denizli","Merkezefendi",7,11,0,0,,
"Türkiye","Balıkesir","Gönen",11,11,0,0,,
"Türkiye","Istanbul","Gaziosmanpaşa",10,11,0,0,,
"Sweden","Norrbotten County","Luleå",11,11,0,0,,
"Türkiye","Kocaeli","Osmaniye",10,11,0,0,,
