Urun Adi;Marka;Kategori;Alt Kategori;Varyant;SKU;SaticiSKU;Iade Sebebi;Iade Detayi;Iade Miktari;Tahmini satis kaybi(?)
Iqibla Smart Ring J01 Ak?ll? Zikir Yüzü?ü;Iqibla;Telefon;Ak?ll? Yüzükler;Pembe/Zikir Yüzü?ü;HBCV0000C5MUU5;J01P;Kolay iade;"[""Ürünü almaktan vazgeçtim / be?enmedim"",""Ürünüm hasarl? geldi""]";2;5122,27
Iqibla Smart Ring J01 Ak?ll? Zikir Yüzü?ü;Iqibla;Telefon;Ak?ll? Yüzükler;Ye?il/Zikir Yüzü?ü;HBCV0000C5MVR6;J01Y;Kolay iade;"[""Ürünü almaktan vazgeçtim / be?enmedim""]";1;2620
Iqibla Smart Ring J01 Ak?ll? Zikir Yüzü?ü;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C5N7W9;J01S;Kolay iade;"[""Ürünü almaktan vazgeçtim / be?enmedim""]";1;2432,27
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C6J3UI;6970126922880;Kolay iade;"[""Ürünü almaktan vazgeçtim / be?enmedim"",""Ürünüm hasarl? geldi""]";3;4835,46
