"Ay","Oturumlar","Sepete ekleme yapılan oturumlar","Ödeme sayfasına ulaşan oturumlar","Ödemeyi tamamlayan oturumlar","Dönüşüm oranı","Month (previous_year)","Sessions (previous_year)","Sessions with cart additions (previous_year)","Sessions that reached checkout (previous_year)","Sessions that completed checkout (previous_year)","Conversion rate (previous_year)","Sessions (previous_year) ","Sessions with cart additions (previous_year) ","Sessions that reached checkout (previous_year) ","Sessions that completed checkout (previous_year) ","Conversion rate (previous_year) "
"2026-01-01",0,0,0,0,,"2025-01-01",0,0,0,0,,,,,,
"2026-02-01",2165,67,38,12,0.005542725173210162,"2025-02-01",0,0,0,0,,,,,,
"2026-03-01",54730,1494,932,307,0.0056093550155307875,"2025-03-01",0,0,0,0,,,,,,
"2026-04-01",4139,68,51,15,0.00362406378352259,"2025-04-01",0,0,0,0,,,,,,
